"Breve Descrizione","Gruppo","Sala","Ora Inizio","Ora Fine","Durata","Descrizione completa","Corrispondenza","Creato da","Tipo di prenotazione","Stato dell'approvazione","Docente","E' un esame?","Corso di Studi","Ultima Modifica"
"Geometria I","Aule","A3","09:00:00 - venerdì 15 gennaio 2016","13:00:00 - venerdì 15 gennaio 2016","4 ore","primo appello orale","CdS interno del Dipartimento","rv470001","Prenotazione","Approvato","Vincenti Rita","Yes","Matematica I Anno","06:56:33 - lunedì 21 settembre 2015"
"Meccanica Razionale I","Aule","B1","09:00:00 - venerdì 15 gennaio 2016","11:00:00 - venerdì 15 gennaio 2016","2 ore","tutorato Giada Podelvento","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Nucci Maria Clara","No","Matematica III Anno","10:54:38 - giovedì 17 dicembre 2015"
"Sistemi con vincoli e rappresentazione della conoscenza","Aule","B3","09:00:00 - venerdì 15 gennaio 2016","19:00:00 - venerdì 15 gennaio 2016","10 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale II Anno","12:07:08 - giovedì 20 agosto 2015"
"didattica assistita Geomatematica","Aule","C2","09:00:00 - venerdì 15 gennaio 2016","11:00:00 - venerdì 15 gennaio 2016","2 ore","didattica assistita Geomatematica","Altro","rf690001","Prenotazione","Approvato","Filippucci Roberta","No","Altro","11:24:40 - venerdì 08 gennaio 2016"
"Analisi Matematica I","Aule","A2","11:00:00 - venerdì 15 gennaio 2016","14:00:00 - venerdì 15 gennaio 2016","3 ore","esercitazione","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Brandi Primo","No","Matematica I Anno","09:34:09 - mercoledì 16 dicembre 2015"
"Seminario","Aule","Sala Riunioni","11:00:00 - venerdì 15 gennaio 2016","13:00:00 - venerdì 15 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Vinti Gianluca","No","Matematica","17:12:07 - giovedì 14 gennaio 2016"
"Lezione","Aule","Aula C3","11:00:00 - venerdì 15 gennaio 2016","13:00:00 - venerdì 15 gennaio 2016","2 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","No","Informatica II Anno","09:23:01 - martedì 12 gennaio 2016"
"Seminario","Aule","Portatile 4","11:00:00 - venerdì 15 gennaio 2016","13:00:00 - venerdì 15 gennaio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Vinti Gianluca","No","Matematica","09:02:45 - venerdì 15 gennaio 2016"
"Analisi Matematica I","Aule","A2","14:00:00 - venerdì 15 gennaio 2016","18:00:00 - venerdì 15 gennaio 2016","4 ore","esercitazione","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Brandi Primo","No","Matematica I Anno","12:13:31 - mercoledì 16 dicembre 2015"
"Argumentation","Aule","Sala Riunioni","14:00:00 - venerdì 15 gennaio 2016","17:00:00 - venerdì 15 gennaio 2016","3 ore","","Altro","pr520001","Prenotazione","Approvato","Bistarelli Stefano","No","Altro","09:25:26 - venerdì 15 gennaio 2016"
"Intervento Tecnico Infissi","Aule","A0","09:00:00 - lunedì 18 gennaio 2016","19:00:00 - lunedì 18 gennaio 2016","10 ore","","Altro","ae610001","Prenotazione","Approvato","Ufficio Tecnico","No","Altro","09:51:43 - venerdì 15 gennaio 2016"
"didattica assistita Canale B Biotecnologie","Aule","C2","09:00:00 - lunedì 18 gennaio 2016","11:00:00 - lunedì 18 gennaio 2016","2 ore","didattica assistita Canale B Biotecnologie","Altro","rf690001","Prenotazione","Approvato","Filippucci Roberta","No","Altro","09:33:02 - lunedì 11 gennaio 2016"
"Esame Protocolli e SAED","Aule","Aula Verde","09:00:00 - lunedì 18 gennaio 2016","13:00:00 - lunedì 18 gennaio 2016","4 ore","","CdS interno del Dipartimento","st600001","Prenotazione","Approvato","Tasso Sergio","Yes","Informatica","11:46:19 - mercoledì 13 gennaio 2016"
"Fisica I","Aule","B1","10:00:00 - lunedì 18 gennaio 2016","12:00:00 - lunedì 18 gennaio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Plazanet Marie Genevieve","Yes","Matematica I Anno","11:44:51 - giovedì 07 gennaio 2016"
